"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_RR","1","1910-01-01","899","4","5",
"OBS_DEU_P1Y_RR","1","1911-01-01","527","4","5",
"OBS_DEU_P1Y_RR","1","1912-01-01","793.9","4","1",
"OBS_DEU_P1Y_RR","1","1913-01-01","688.3","4","1",
"OBS_DEU_P1Y_RR","1","1914-01-01","782.2","4","1",
"OBS_DEU_P1Y_RR","1","1915-01-01","966.9","4","1",
"OBS_DEU_P1Y_RR","1","1916-01-01","759.4","4","1",
"OBS_DEU_P1Y_RR","1","1917-01-01","730.3","4","1",
"OBS_DEU_P1Y_RR","1","1918-01-01","774.9","4","1",
"OBS_DEU_P1Y_RR","1","1919-01-01","642.6","4","1",
"OBS_DEU_P1Y_RR","1001","1910-01-01","644.3","4","1",
"OBS_DEU_P1Y_RR","1001","1912-01-01","708.8","4","1",
"OBS_DEU_P1Y_RR","1001","1913-01-01","542.3","4","1",
"OBS_DEU_P1Y_RR","1001","1914-01-01","604.7","4","1",
"OBS_DEU_P1Y_RR","1001","1915-01-01","780","4","1",
"OBS_DEU_P1Y_RR","1001","1916-01-01","767.1","4","1",
"OBS_DEU_P1Y_RR","1001","1917-01-01","521.3","4","1",
"OBS_DEU_P1Y_RR","1001","1918-01-01","605.4","4","1",
"OBS_DEU_P1Y_RR","1001","1919-01-01","647.4","4","1",
"OBS_DEU_P1Y_RR","1003","1911-01-01","446.3","4","1",
"OBS_DEU_P1Y_RR","1003","1912-01-01","864.8","4","1",
"OBS_DEU_P1Y_RR","1003","1913-01-01","685.9","4","1",
"OBS_DEU_P1Y_RR","1003","1915-01-01","922.5","4","1",
"OBS_DEU_P1Y_RR","1003","1919-01-01","754.9","4","1",
"OBS_DEU_P1Y_RR","1006","1910-01-01","688.1","4","1",
"OBS_DEU_P1Y_RR","1006","1912-01-01","582","4","1",
"OBS_DEU_P1Y_RR","1006","1914-01-01","676.5","4","1",
"OBS_DEU_P1Y_RR","1006","1915-01-01","621.5","4","1",
"OBS_DEU_P1Y_RR","1006","1916-01-01","703.8","4","1",
"OBS_DEU_P1Y_RR","1006","1917-01-01","488.9","4","1",
"OBS_DEU_P1Y_RR","1006","1919-01-01","578","4","1",
"OBS_DEU_P1Y_RR","101","1910-01-01","751","4","5",
"OBS_DEU_P1Y_RR","101","1911-01-01","519","4","5",
"OBS_DEU_P1Y_RR","101","1912-01-01","953","4","5",
"OBS_DEU_P1Y_RR","101","1913-01-01","745","4","5",
"OBS_DEU_P1Y_RR","101","1914-01-01","875","4","5",
"OBS_DEU_P1Y_RR","101","1915-01-01","821","4","5",
"OBS_DEU_P1Y_RR","101","1916-01-01","814","4","5",
"OBS_DEU_P1Y_RR","101","1917-01-01","736","4","5",
"OBS_DEU_P1Y_RR","101","1918-01-01","704","4","5",
"OBS_DEU_P1Y_RR","101","1919-01-01","944","4","5",
"OBS_DEU_P1Y_RR","1014","1910-01-01","657","4","5",
"OBS_DEU_P1Y_RR","1014","1911-01-01","520","4","5",
"OBS_DEU_P1Y_RR","1014","1912-01-01","679","4","5",
"OBS_DEU_P1Y_RR","1014","1913-01-01","595","4","5",
"OBS_DEU_P1Y_RR","1014","1914-01-01","810","4","5",
"OBS_DEU_P1Y_RR","1014","1915-01-01","790","4","5",
"OBS_DEU_P1Y_RR","1014","1916-01-01","794","4","5",
"OBS_DEU_P1Y_RR","1014","1917-01-01","705","4","5",
