"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"7240","Horb-Altheim","8,6304","48,4692","567.0","https://cdc.dwd.de/rest/metadata/station/html/1000153888"
"19623","Linderhof","10,9583","47,5665","940.0","https://cdc.dwd.de/rest/metadata/station/html/10054012"
"19127","Deiningen","10,5704","48,8653","423.0","https://cdc.dwd.de/rest/metadata/station/html/1012839599"
"2228","Hinterzarten","8,1055","47,8983","883.0","https://cdc.dwd.de/rest/metadata/station/html/1019459323"
"19897","Berlin-Friedrichshain-Nord","13,4550","52,5040","37.0","https://cdc.dwd.de/rest/metadata/station/html/102539340"
"19635","Hammelburg/Unterfranken","9,9074","50,1213","220.0","https://cdc.dwd.de/rest/metadata/station/html/1045192121"
"7489","Birenbach","9,6484","48,7448","348.0","https://cdc.dwd.de/rest/metadata/station/html/1046538670"
"16086","Barum-St. Dionys","10,3906","53,3367","4.0","https://cdc.dwd.de/rest/metadata/station/html/1056263338"
"15994","Sukow-Zietlitz","11,5485","53,5696","44.0","https://cdc.dwd.de/rest/metadata/station/html/1059145595"
"19764","Thurm (Mülsen)","12,5500","50,7700","285.0","https://cdc.dwd.de/rest/metadata/station/html/1061610327"
"19644","Krün/Oberbayern","11,2776","47,4942","875.0","https://cdc.dwd.de/rest/metadata/station/html/1062749154"
"14043","Mülheim-Kärlich, Kr. Mayen-Koblenz","7,5325","50,3837","155.0","https://cdc.dwd.de/rest/metadata/station/html/1068874359"
"7242","Wiesensteig","9,6372","48,5682","565.0","https://cdc.dwd.de/rest/metadata/station/html/107314022"
"14006","Mußbach (Neustadt)","8,1854","49,3683","145.0","https://cdc.dwd.de/rest/metadata/station/html/1089904054"
"19578","Pölchow","12,0971","54,0081","42.0","https://cdc.dwd.de/rest/metadata/station/html/1107224628"
"19677","Stadelhofen/Oberfranken","11,1947","50,0033","476.0","https://cdc.dwd.de/rest/metadata/station/html/1127023111"
"15965","Brückenau, Bad (Elisabethenhof)","9,7838","50,3102","350.0","https://cdc.dwd.de/rest/metadata/station/html/1133372203"
