"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_T2M","1003","1881-01-01","7.27","4","5",
"OBS_DEU_P1Y_T2M","1003","1882-01-01","8.69","4","1",
"OBS_DEU_P1Y_T2M","1003","1883-01-01","8.37","4","1",
"OBS_DEU_P1Y_T2M","1003","1884-01-01","9.14","4","1",
"OBS_DEU_P1Y_T2M","1003","1885-01-01","8.66","4","1",
"OBS_DEU_P1Y_T2M","1003","1886-01-01","8.56","4","1",
"OBS_DEU_P1Y_T2M","1003","1887-01-01","7.53","4","1",
"OBS_DEU_P1Y_T2M","1003","1888-01-01","7.66","4","1",
"OBS_DEU_P1Y_T2M","1003","1889-01-01","8.19","4","1",
"OBS_DEU_P1Y_T2M","1003","1890-01-01","8.55","4","1",
"OBS_DEU_P1Y_T2M","1003","1891-01-01","8.61","4","1",
"OBS_DEU_P1Y_T2M","1003","1892-01-01","8.37","4","1",
"OBS_DEU_P1Y_T2M","1003","1893-01-01","8.37","4","1",
"OBS_DEU_P1Y_T2M","1003","1894-01-01","8.69","4","1",
"OBS_DEU_P1Y_T2M","1006","1899-01-01","8.39","4","1",
"OBS_DEU_P1Y_T2M","1006","1901-01-01","7.9","4","1",
"OBS_DEU_P1Y_T2M","1006","1902-01-01","6.83","4","1",
"OBS_DEU_P1Y_T2M","1006","1904-01-01","8.31","4","1",
"OBS_DEU_P1Y_T2M","1006","1905-01-01","8.27","4","1",
"OBS_DEU_P1Y_T2M","1006","1906-01-01","8.7","4","1",
"OBS_DEU_P1Y_T2M","1006","1907-01-01","7.82","4","1",
"OBS_DEU_P1Y_T2M","1006","1908-01-01","7.63","4","1",
"OBS_DEU_P1Y_T2M","1006","1909-01-01","7.46","4","1",
"OBS_DEU_P1Y_T2M","1006","1910-01-01","8.65","4","1",
"OBS_DEU_P1Y_T2M","1006","1911-01-01","9.22","4","1",
"OBS_DEU_P1Y_T2M","1006","1913-01-01","8.77","4","1",
"OBS_DEU_P1Y_T2M","1006","1914-01-01","9.03","4","1",
"OBS_DEU_P1Y_T2M","1006","1917-01-01","7.98","4","1",
"OBS_DEU_P1Y_T2M","1006","1919-01-01","7.3","4","1",
"OBS_DEU_P1Y_T2M","1006","1920-01-01","8.64","4","1",
"OBS_DEU_P1Y_T2M","1006","1921-01-01","9.05","4","1",
"OBS_DEU_P1Y_T2M","1006","1922-01-01","7.1","4","1",
"OBS_DEU_P1Y_T2M","1006","1923-01-01","7.86","4","1",
"OBS_DEU_P1Y_T2M","1006","1927-01-01","8.25","4","1",
"OBS_DEU_P1Y_T2M","1006","1928-01-01","8.25","4","1",
"OBS_DEU_P1Y_T2M","1018","1881-01-01","5.82","4","5",
"OBS_DEU_P1Y_T2M","1018","1882-01-01","6.36","4","5",
"OBS_DEU_P1Y_T2M","1018","1883-01-01","6.18","4","5",
"OBS_DEU_P1Y_T2M","1018","1884-01-01","6.85","4","5",
"OBS_DEU_P1Y_T2M","1018","1885-01-01","6.08","4","5",
"OBS_DEU_P1Y_T2M","1018","1886-01-01","6.49","4","5",
"OBS_DEU_P1Y_T2M","1018","1887-01-01","5","4","5",
"OBS_DEU_P1Y_T2M","1018","1888-01-01","5.57","4","5",
"OBS_DEU_P1Y_T2M","1018","1889-01-01","5.5","4","5",
"OBS_DEU_P1Y_T2M","1018","1890-01-01","5.38","4","5",
"OBS_DEU_P1Y_T2M","1018","1891-01-01","5.42","4","5",
"OBS_DEU_P1Y_T2M","1018","1892-01-01","6.24","4","5",
"OBS_DEU_P1Y_T2M","1018","1893-01-01","6.48","4","5",
"OBS_DEU_P1Y_T2M","1018","1894-01-01","6.37","4","5",
"OBS_DEU_P1Y_T2M","1018","1895-01-01","5.62","4","5",
"OBS_DEU_P1Y_T2M","1018","1896-01-01","5.95","4","5",
"OBS_DEU_P1Y_T2M","1018","1897-01-01","6.92","4","5",
"OBS_DEU_P1Y_T2M","1018","1898-01-01","7.01","4","5",
"OBS_DEU_P1Y_T2M","1018","1899-01-01","6.74","4","5",
"OBS_DEU_P1Y_T2M","1018","1900-01-01","7.04","4","5",
"OBS_DEU_P1Y_T2M","1018","1901-01-01","5.62","4","5",
"OBS_DEU_P1Y_T2M","1018","1902-01-01","5.93","4","5",
"OBS_DEU_P1Y_T2M","1018","1903-01-01","6.24","4","5",
"OBS_DEU_P1Y_T2M","1018","1904-01-01","6.81","4","5",
"OBS_DEU_P1Y_T2M","1018","1905-01-01","6.1","4","5",
"OBS_DEU_P1Y_T2M","1018","1906-01-01","6.18","4","5",
"OBS_DEU_P1Y_T2M","1018","1907-01-01","6.27","4","5",
"OBS_DEU_P1Y_T2M","1018","1908-01-01","5.41","4","5",
"OBS_DEU_P1Y_T2M","1018","1909-01-01","5.45","4","5",
"OBS_DEU_P1Y_T2M","1018","1910-01-01","6.41","4","5",
"OBS_DEU_P1Y_T2M","1018","1911-01-01","7.06","4","5",
"OBS_DEU_P1Y_T2M","1018","1912-01-01","6.09","4","5",
"OBS_DEU_P1Y_T2M","1018","1913-01-01","6.58","4","5",
"OBS_DEU_P1Y_T2M","1018","1914-01-01","6.12","4","5",
"OBS_DEU_P1Y_T2M","1018","1915-01-01","6.16","4","5",
"OBS_DEU_P1Y_T2M","1018","1916-01-01","6.78","4","5",
"OBS_DEU_P1Y_T2M","1018","1917-01-01","5.48","4","5",
